2006 NOC,TITLE,2013 OJF Rating
,,
,,2013-17
111,Financial managers                                                   ,Above Average
112,Human resources managers                                             ,Above Average
113,Purchasing managers                                                  ,Average
121,"Insurance, real estate and financial brokerage managers              ",Above Average
122,"Banking, credit and other investment managers                        ",Above Average
213,Computer and information systems managers                            ,Above Average
311,Managers in health care                                              ,Above Average
611,"Sales, marketing and advertising managers                            ",Above Average
621,Retail trade managers                                                ,Above Average
631,Restaurant and food service managers                                 ,Above Average
711,Construction managers                                                ,Above Average
712,Residential home builders and renovators                             ,Above Average
911,Manufacturing managers                                               ,Above Average
1111,Financial auditors and accountants                                   ,Average
1112,Financial and investment analysts                                    ,Above Average
1113,"Securities agents, investment dealers and brokers                    ",Above Average
1114,Other financial officers                                             ,Above Average
1121,Specialists in human resources                                       ,Above Average
1221,Administrative officers                                              ,Average
1222,Executive assistants                                                 ,Average
1224,Property administrators                                              ,Average
1225,Purchasing agents and officers                                       ,Above Average
1231,Bookkeepers                                                          ,Above Average
1233,Insurance adjusters and claims examiners                             ,Above Average
1234,Insurance underwriters                                               ,Above Average
1241,Secretaries (except legal and medical)                               ,Below Average
1242,Legal secretaries                                                    ,Average
1243,Medical secretaries                                                  ,Average
1411,General office clerks                                                ,Below Average
1414,Receptionists and switchboard operators                              ,Average
1431,Accounting and related clerks                                        ,Average
1433,Customer service representatives - financial services                ,Average
1434,"Banking, Insurance and Other Financial Clerks",Average
1441,Administrative clerks                                                ,Average
1453,"Customer service, information and related clerks                     ",Average
1471,Shippers and receivers                                               ,Average
1472,Storekeepers and parts clerks                                        ,Below Average
1473,Production clerks                                                    ,Below Average
1474,Purchasing and inventory clerks                                      ,Average
2112,Chemists                                                             ,Average
2113,"Geologists, geochemists and geophysicists                            ",Average
2115,Other Professional Occupations in Physical Sciences,Below Average
2121,Biologists and related scientists                                    ,Average
2131,Civil engineers                                                      ,Above Average
2132,Mechanical engineers                                                 ,Average
2133,Electrical and electronics engineers                                 ,Average
2134,Chemical engineers                                                   ,Below Average
2141,Industrial and manufacturing engineers                               ,Average
2142,Metallurgical and materials engineers                                ,Below Average
2143,Mining engineers                                                     ,Above Average
2144,Geological engineers                                                 ,Average
2146,Aerospace engineers                                                  ,Average
2147,Computer engineers (except software engineers)                       ,Average
2148,"Other professional engineers, n.e.c.                                 ",Average
2151,Architects                                                           ,Average
2152,Landscape architects                                                 ,Average
2153,Urban and land use planners                                          ,Average
2154,Land surveyors                                                       ,Average
2161,"Mathematicians, statisticians and actuaries                          ",Average
2171,Information systems analysts and consultants                         ,Above Average
2172,Database analysts and data administrators                            ,Average
2173,Software engineers and designers                                     ,Average
2174,Computer programmers and interactive media developers                ,Average
2175,Web designers and developers                                         ,Average
2211,Chemical technologists and technicians                               ,Below Average
2212,Geological and mineral technologists and technicians                 ,Average
2221,Biological technologists and technicians                             ,Average
2223,Forestry technologists and technicians                               ,Below Average
2225,Landscape and horticultural technicians and specialists              ,Above Average
2231,Civil engineering technologists and technicians                      ,Above Average
2232,Mechanical engineering technologists and technicians                                            ,Average
2233,Industrial engineering and manufacturing technologists and technicians                          ,Average
2234,Construction estimators                                                                         ,Average
2241,Electrical and electronics engineering technologists and technicians                            ,Average
2242,Electronic service technicians (household and business equipment)                               ,Average
2243,Industrial instrument technicians and mechanics                                                 ,Average
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors              ",Average
2251,Architectural technologists and technicians                   ,Average
2252,Industrial designers                                          ,Average
2253,Drafting technologists and technicians                        ,Average
2254,Land survey technologists and technicians                     ,Below Average
2261,Non-destructive testers and inspectors                        ,Above Average
2263,Inspectors in public and environmental health and occupational health and safety                ,Above Average
2271,"Air pilots, flight engineers and flying instructors                    ",Average
2281,Computer network technicians                                           ,Average
2282,User support technicians                                               ,Average
2283,Systems testing technicians                                            ,Average
3111,Specialist physicians                                                  ,Above Average
3112,General practitioners and family physicians                            ,Average
3113,Dentists                                                               ,Average
3114,Veterinarians                                                          ,Average
3121,Optometrists                                                           ,Average
3122,Chiropractors                                                          ,Average
3131,Pharmacists                                                            ,Average
3132,Dietitians and nutritionists                                           ,Average
3141,Audiologists and speech-language pathologists                          ,Average
3142,Physiotherapists                                                       ,Average
3143,Occupational therapists                                                ,Average
3152,Registered nurses                                                      ,Above Average
3211,Medical laboratory technologists and pathologists' assistants          ,Average
3212,Medical laboratory technicians                                         ,Average
3214,"Respiratory therapists, clinical perfusionists and cardio-pulmonary technologists               ",Average
3215,Medical radiation technologists                                      ,Average
3216,Medical sonographers                                                 ,Average
3222,Dental hygienists and dental therapists                              ,Average
3231,Opticians                                                            ,Average
3233,Licensed practical nurses                                            ,Average
3234,Ambulance attendants and other paramedical occupations               ,Average
3411,Dental assistants                                                    ,Average
3413,"Nurse aides, orderlies and patient service associates                ",Above Average
4112,Lawyers and Qu̩bec notaries                                          ,Average
4121,University Professors,Average
4131,College and Other Vocational Instructors,Average
4141,Secondary school teachers                                            ,Below Average
4142,Elementary school and kindergarten teachers                          ,Below Average
4143,Educational counsellors                                              ,Average
4151,Psychologists                                                        ,Average
4152,Social workers                                                       ,Average
4162,Economists and economic policy researchers and analysts                                         ,Below Average
4211,Paralegal and related occupations                                                               ,Average
4212,Community and social service workers                                                            ,Average
4214,Early childhood educators and assistants                                                        ,Above Average
5111,Librarians                                                                                      ,Average
5121,Authors and writers                                                                             ,Average
5122,Editors                                                                                         ,Average
5123,Journalists                                                                                     ,Average
5124,Professional occupations in public relations and communications                                 ,Above Average
5125,"Translators, terminologists and interpreters                                                    ",Above Average
5223,Graphic arts technicians                                                                        ,Average
5225,Audio and video recording technicians                                                                                       ,Average
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",Below Average
5241,Graphic designers and illustrators                                                 ,Average
5242,Interior designers                                                                 ,Average
6221,"Technical sales specialists, wholesale trade                                       ",Average
6231,Insurance agents and brokers                                                       ,Average
6232,Real estate agents and salespersons                                                ,Above Average
6233,Retail and wholesale buyers                                                        ,Average
6241,Chefs                                                                              ,Average
6242,Cooks                                                                              ,Average
6251,"Butchers, meat cutters and fishmongers, retail and wholesale                       ",Average
6252,Bakers                                                                             ,Average
