College Name,Campus Name,Head Count - Fall
Algonquin College,Heritage Institute - Perth Campus,264
Algonquin College,Ottawa Valley - Pembroke Campus ,673
Algonquin College,Woodroffe Campus,14647
Cambrian College,Espanola Campus,N/A
Cambrian College,Sudbury,3340
Canadore College,AEI - Muncey,N/A
Canadore College,Aviation Campus,165
Canadore College,College Drive Campus,1615
Canadore College,Commerce Court Campus,461
Canadore College,Fort Francis,44
Canadore College,On-line program Delivery,77
Canadore College,Parry Sound Campus,34
Centennial College,Ashtonbee Campus,1446
Centennial College,Centennial Science and Technology Centre,1941
Centennial College,Centre for Creative Communications,896
Centennial College,Pickering Learning Site,15
Centennial College,Progress Campus,4696
Collège Boréal,Hearst,27
Collège Boréal,Kapuskasing,21
Collège Boréal,Main Campus,998
Collège Boréal,New Liskeard,18
Collège Boréal,Nipissing,20
Collège Boréal,Timmins,84
Collège Boréal,Toronto,240
Conestoga College,Brantford,40
Conestoga College,Cambridge ,1229
Conestoga College,Doon ,6681
Conestoga College,Guelph ,448
Conestoga College,Ingersoll,66
Conestoga College,Waterloo ,565
Confederation College,Distance Education,60
Confederation College,Lake of Woods,81
Confederation College,Rainy River District Campus,81
Confederation College,Thunder Bay,2722
Durham College,Main Campus - Oshawa Campus,7546
Durham College,Pickering Learning Site,128
Durham College,Whtiby Campus,1488
Fanshawe College,James N. Allan Campus,151
Fanshawe College,London,11708
Fanshawe College,Oxford County Campus ,275
Fanshawe College,St. Thomas / Elgin Campus ,202
George Brown College,Casa Loma,4092
George Brown College,Hospitality and Tourism Centre,2434
George Brown College,Main Campus / St. James,5954
George Brown College,Ryerson University ,778
George Brown College,Waterfront Campus,2160
George Brown College,Young Centre for the Performing Arts ,92
Georgian College,Barrie Campus,5798
Georgian College,Midland Campus ,152
Georgian College,Muskoka Campus ,58
Georgian College,Orangeville Campus,80
Georgian College,Orillia Campus,1544
Georgian College,Owen Sound Campus,728
Georgian College,South Georgian Bay Campus,91
Humber College,Lakeshore Campus and the Robert A. Gordon Learning Centre,7335
Humber College,North Campus,12255
Humber College,Orangeville Campus,176
La Cité Collégiale,Campus de Toronto,N/A
La Cité Collégiale,Main Campus ,4175
Lambton College,Main Campus,2616
Loyalist College,Main Campus ,2475
Mohawk College,Main Campus/Fennell Campus,8730
Mohawk College,Mohawk-McMaster Institute for Applied Health Sciences (IAHS),635
Mohawk College,Odeon Campus ,336
Mohawk College,Sheridan/Mississauga,22
Mohawk College,"Skills Trades and Apprenticeship Research, Resources and Training (STARRT) Institute ",738
Niagara College,Maid of the Mist Campus - Tourism Industry Development Centre,46
Niagara College,Niagara-on-the-Lake Campus,2401
Niagara College,Welland Campus,4986
Northern College,Contact North,50
Northern College,Contact North Haileybury,56
Northern College,Contact North Kirkland Lake,24
Northern College,Haileybury Campus ,317
Northern College,James Bay Education Centre Campus,24
Northern College,Kirkland Lake Campus,90
Northern College,Open Learning,N/A
Northern College,Porcupine Site,471
Sault College,Main Campus,2135
Seneca College,Buttonville Campus,N/A
Seneca College,Jane Campus,90
Seneca College,King Campus,2770
Seneca College,Markham Campus,1328
Seneca College,Newnham Campus,8252
Seneca College,Peterborough Campus,N/A
Seneca College,Seneca @ York Campus,4335
Seneca College,Yorkgate Campus,N/A
Sheridan College,Davis Campus,5412
Sheridan College,Hazel McCallion Campus,1928
Sheridan College,Main Campus / Trafalgar Road Campus,6599
Sheridan College,Skills Training Centre,379
Sir Sandford Fleming College,Cobourg,24
Sir Sandford Fleming College,Frost,1632
Sir Sandford Fleming College,Haliburton,86
Sir Sandford Fleming College,Main Campus / Sutherland,3638
St. Clair College,Centre for the Arts,507
St. Clair College,Mediaplex,243
St. Clair College,South Campus,5513
St. Clair College,Thames Campus,1045
St. Lawrence College,Brockville Campus,539
St. Lawrence College,Cornwall Campus,944
St. Lawrence College,Main Campus,3907
