College Name,Country of Citizenship Name,Head Count - Fall
Algonquin College,AFGHANISTAN,N/A
Algonquin College,ALBANIA,N/A
Algonquin College,ALGERIA,N/A
Algonquin College,ANGOLA,N/A
Algonquin College,ANTIGUA AND BARBUDA,N/A
Algonquin College,AUSTRALIA,N/A
Algonquin College,BAHAMAS,N/A
Algonquin College,BANGLADESH,24
Algonquin College,BARBADOS,N/A
Algonquin College,BELARUS,N/A
Algonquin College,BELGIUM,N/A
Algonquin College,BHUTAN,N/A
Algonquin College,BOLIVIA,N/A
Algonquin College,BOSNIA AND HERZEGOVINA,N/A
Algonquin College,BOTSWANA,N/A
Algonquin College,BRAZIL,N/A
Algonquin College,BULGARIA,N/A
Algonquin College,BURKINA FASO,N/A
Algonquin College,BURUNDI,N/A
Algonquin College,CAMBODIA,N/A
Algonquin College,CAMEROON,12
Algonquin College,CANADA,14712
Algonquin College,CAYMAN ISLANDS,N/A
Algonquin College,CHAD,N/A
Algonquin College,CHILE,N/A
Algonquin College,CHINA,89
Algonquin College,COLOMBIA,20
Algonquin College,CONGO,N/A
Algonquin College,"CONGO, DEMOCRATIC REPUBLIC OF THE",18
Algonquin College,COSTA RICA,N/A
Algonquin College,CROATIA,N/A
Algonquin College,CUBA,N/A
Algonquin College,CÔTE D'IVOIRE,N/A
Algonquin College,DENMARK,N/A
Algonquin College,DJIBOUTI,N/A
Algonquin College,DOMINICA,N/A
Algonquin College,DOMINICAN REPUBLIC,N/A
Algonquin College,ECUADOR,N/A
Algonquin College,EGYPT,N/A
Algonquin College,EL SALVADOR,N/A
Algonquin College,ERITREA,N/A
Algonquin College,ETHIOPIA,11
Algonquin College,FRANCE,N/A
Algonquin College,GABON,N/A
Algonquin College,GEORGIA,N/A
Algonquin College,GERMANY,N/A
Algonquin College,GHANA,N/A
Algonquin College,GRENADA,N/A
Algonquin College,GUATEMALA,N/A
Algonquin College,GUINEA,N/A
Algonquin College,GUYANA,N/A
Algonquin College,HAITI,41
Algonquin College,HONDURAS,N/A
Algonquin College,HUNGARY,N/A
Algonquin College,INDIA,34
Algonquin College,IRAN,18
Algonquin College,IRAQ,19
