College Name,Gender Description,Head Count - Fall
Algonquin College,Female,7548
Algonquin College,Male,7985
Algonquin College,Unknown,51
Cambrian College,Female,1740
Cambrian College,Male,1593
Cambrian College,Unknown,N/A
Canadore College,Female,1373
Canadore College,Male,1022
Canadore College,Unknown,N/A
Centennial College,Female,4642
Centennial College,Male,4347
Centennial College,Unknown,N/A
Collège Boréal,Female,922
Collège Boréal,Male,486
Conestoga College,Female,4232
Conestoga College,Male,4797
Conestoga College,Unknown,N/A
Confederation College,Female,1650
Confederation College,Male,1294
Durham College,Female,4550
Durham College,Male,4609
Durham College,Unknown,N/A
Fanshawe College,Female,6195
Fanshawe College,Male,6141
Fanshawe College,Unknown,N/A
George Brown College,Female,8503
George Brown College,Male,7007
George Brown College,Unknown,N/A
Georgian College,Female,4896
Georgian College,Male,3555
Humber College,Female,10093
Humber College,Male,9648
Humber College,Unknown,25
La Cité Collégiale,Female,2241
La Cité Collégiale,Male,1941
Lambton College,Female,1437
Lambton College,Male,1178
Lambton College,Unknown,N/A
Loyalist College,Female,1371
Loyalist College,Male,1104
Mohawk College,Female,4886
Mohawk College,Male,5575
Niagara College,Female,3792
Niagara College,Male,3621
Niagara College,Unknown,20
Northern College,Female,673
Northern College,Male,362
Sault College,Female,1011
Sault College,Male,1124
Sault College,Unknown,N/A
Seneca College,Female,8636
Seneca College,Male,8125
Seneca College,Unknown,14
Sheridan College,Female,7601
Sheridan College,Male,6564
Sheridan College,Unknown,153
Sir Sandford Fleming College,Female,2803
Sir Sandford Fleming College,Male,2574
Sir Sandford Fleming College,Unknown,N/A
St. Clair College,Female,4193
St. Clair College,Male,3099
St. Clair College,Unknown,16
St. Lawrence College,Female,3303
St. Lawrence College,Male,2083
St. Lawrence College,Unknown,N/A
