College Name,Classification Instructional Program En Title,Head Count - Fall
Algonquin College,Aboriginal studies,34
Algonquin College,Accounting,109
Algonquin College,Accounting and business/management,314
Algonquin College,"Administrative assistant and secretarial science, general",50
Algonquin College,Advertising,171
Algonquin College,Aesthetician/esthetician and skin care specialist,57
Algonquin College,Airframe mechanics and aircraft maintenance technology/technician,37
Algonquin College,"Animation, interactive technology, video graphics and special effects",77
Algonquin College,Architectural engineering technology/technician,N/A
Algonquin College,Architectural technology/technician,266
Algonquin College,"Art/art studies, general",N/A
Algonquin College,Auditing,N/A
Algonquin College,Automobile/automotive mechanics technology/technician,46
Algonquin College,Aviation/airway management and operations,93
Algonquin College,Baking and pastry arts/baker/pastry chef,75
Algonquin College,Bartending/bartender,42
Algonquin College,Behavioural sciences,63
Algonquin College,Biology technician/biotechnology laboratory technician,152
Algonquin College,"Business administration and management, general",764
Algonquin College,"Business administration, management and operations, other",N/A
Algonquin College,"Business/commerce, general",74
Algonquin College,Cabinetmaking and millwork,70
Algonquin College,Carpentry/carpenter,102
Algonquin College,Child care provider/assistant,487
Algonquin College,Civil engineering technology/technician,264
Algonquin College,"Communication and media studies, other",120
Algonquin College,"Computer and information sciences and support services, other",362
Algonquin College,"Computer programming/programmer, general",238
Algonquin College,Computer science,262
Algonquin College,Computer technology/computer systems technology,255
Algonquin College,Construction engineering,N/A
Algonquin College,Construction engineering technology/technician,44
Algonquin College,Construction management,N/A
Algonquin College,"Construction trades, general",62
Algonquin College,"Criminal justice and corrections, other",149
Algonquin College,Criminal justice/police science,776
Algonquin College,Culinary arts/chef training,98
Algonquin College,Dental assisting/assistant,26
Algonquin College,Dental hygiene/hygienist,143
Algonquin College,Digital communication and media/multimedia,11
Algonquin College,"Drama and dramatics/theatre arts, general",55
Algonquin College,"Electrical, electronic and communications engineering technology/technician",279
Algonquin College,Emergency medical technology/technician (EMT paramedic),126
Algonquin College,English Technical and Business Writing,130
Algonquin College,Environmental engineering technology/environmental technology,36
Algonquin College,Environmental studies,56
Algonquin College,Executive assistant/executive secretary,49
Algonquin College,Family and community services,250
Algonquin College,Financial planning and services,N/A
Algonquin College,"Fine/studio arts, general",39
Algonquin College,Fire science/firefighting,58
Algonquin College,Foodservice systems administration/management,13
Algonquin College,Forest technology/technician,43
Algonquin College,General office occupations and clerical services,131
Algonquin College,General studies,51
Algonquin College,Geographic information science and cartography,27
Algonquin College,Graphic design,225
Algonquin College,Hair styling/stylist and hair design,55
Algonquin College,Health aide,133
Algonquin College,"Health and medical administrative services, other",114
Algonquin College,"Health and physical education/fitness, general",414
Algonquin College,"Health professions and related clinical sciences, other",89
Algonquin College,"Health/medical preparatory programs, other",278
Algonquin College,"Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",180
Algonquin College,Home furnishings and equipment installers,63
Algonquin College,"Hospitality administration/management, general",87
Algonquin College,Hotel/motel administration/management,164
Algonquin College,"Human resources management/personnel administration, general",53
Algonquin College,Information technology,17
Algonquin College,Interior design,150
Algonquin College,International business/trade/commerce,57
Algonquin College,"Journalism, general",82
Algonquin College,Landscaping and groundskeeping,57
Algonquin College,Legal assistant/paralegal,110
Algonquin College,"Legal professions and studies, other",210
Algonquin College,Library and archives assisting,72
Algonquin College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",322
Algonquin College,Lineworker,65
Algonquin College,"Logistics, materials, and supply chain management",121
Algonquin College,Marketing research,14
