College Name,MTCU Title,Head Count - Fall
Algonquin College,Advanced Care Paramedic,19
Algonquin College,Advertising,171
Algonquin College,Animal Care,35
Algonquin College,Animation,148
Algonquin College,Architectural Technician,272
Algonquin College,Architectural Technology,57
Algonquin College,Autism And Behavioural Science,63
Algonquin College,Aviation Techniques - Aircraft Maintenance,37
Algonquin College,Bachelor Of Applied Arts (interior Design),130
Algonquin College,Bachelor Of Applied Business (e-business Supply Chain Management),121
Algonquin College,Bachelor of Building Science,N/A
Algonquin College,Bachelor of Hospitality and Tourism Management,87
Algonquin College,Baking - Pre-employment,75
Algonquin College,Bartending,42
Algonquin College,Biotechnology Technologist,153
Algonquin College,Broadcasting - Radio,84
Algonquin College,Broadcasting - Television,127
Algonquin College,Building Construction Technician,62
Algonquin College,Business,385
Algonquin College,Business - Accounting,268
Algonquin College,Business - Marketing,367
Algonquin College,Business Administration,58
Algonquin College,Business Administration - Accounting,871
Algonquin College,Business Administration - Finance,53
Algonquin College,Business Administration - Human Resources,69
Algonquin College,Business Administration - International Business,47
Algonquin College,Business Administration - Marketing,38
Algonquin College,Business Administration - Materials And Operations Management,47
Algonquin College,Business Intelligence Systems Infrastructure,17
Algonquin College,Carpentry - Renovation,102
Algonquin College,Child And Youth Worker,310
Algonquin College,Civil Engineering Technology,61
Algonquin College,Clinically Intensive Orientation To Nursing In Ontario,N/A
Algonquin College,Community And Justice Services,107
Algonquin College,Computer Engineering Technology,303
Algonquin College,Computer Programmer,256
Algonquin College,Computer Systems Technician,314
Algonquin College,Computer Systems Technology,30
Algonquin College,Construction Engineering Technician,322
Algonquin College,Construction Management,N/A
Algonquin College,Court And Tribunal Agent,110
Algonquin College,Culinary Management,190
Algonquin College,Culinary Skills - Chef Training,98
Algonquin College,Dental Assisting (levels I And Ii),26
Algonquin College,Dental Hygiene,143
Algonquin College,Developmental Services Worker,212
Algonquin College,Dramatic Scriptwriting,29
Algonquin College,Early Childhood Education,487
Algonquin College,Electrical Engineering Technician,279
Algonquin College,Electrical Engineering Technology,61
Algonquin College,Electro-mechanical Engineering Technician,85
Algonquin College,Environmental Management and Assessment,15
Algonquin College,Environmental Technician,48
Algonquin College,Esthetician,57
Algonquin College,Event Management,76
Algonquin College,Fitness And Health Promotion,254
Algonquin College,Food Service Supervisor,13
Algonquin College,Forensic Accounting,N/A
Algonquin College,Forestry Technician,43
Algonquin College,Furniture Technician,70
Algonquin College,Game Design And Development,47
Algonquin College,Game Development,362
Algonquin College,General Arts And Science,196
Algonquin College,General Arts And Science - One-year,1313
Algonquin College,Geographic Information System,27
Algonquin College,Graphic Design,225
Algonquin College,Green Architecture,N/A
Algonquin College,Hair Stylist,55
Algonquin College,"Heating, Refrigeration And Air Conditionning Technician",180
Algonquin College,Horticultural Industries,57
Algonquin College,Hospitality Management,164
Algonquin College,Human Resources Management,53
Algonquin College,Interior Decorating,63
Algonquin College,International Business Management,10
Algonquin College,Internet Website Development,58
Algonquin College,Journalism - Print,82
Algonquin College,Kitchen and Bath Design,20
Algonquin College,Law Clerk,210
Algonquin College,Library And Information Technician,72
Algonquin College,Manufacturing Engineering Technician,19
Algonquin College,Marketing Management,N/A
Algonquin College,Masonry - Heritage And Traditional,15
Algonquin College,Massage Therapy,158
Algonquin College,Mechanical Engineering Technology,170
Algonquin College,Mechanical Technician,14
Algonquin College,Media Arts,139
Algonquin College,Media Arts - Interactive Multimedia,28
Algonquin College,Medical Imaging Technology - Radiography,93
Algonquin College,Mobile and Social Media Management,11
Algonquin College,Motive Power Technician,46
Algonquin College,Museum Technology,127
Algonquin College,Music Industry Arts,78
Algonquin College,Office Administration - Executive,81
Algonquin College,Office Administration - General,181
Algonquin College,Office Administration - Legal,38
Algonquin College,Office Administration - Medical,25
Algonquin College,Organizational Quality Management,N/A
Algonquin College,Orientation To Nursing In Ontario For Nurses,11
Algonquin College,Orientation To Nursing In Ontario For Practical Nurses,N/A
Algonquin College,Paramedic,107
Algonquin College,Performance Coaching,11
Algonquin College,Personal Financial Services,N/A
Algonquin College,Personal Support Worker,145
Algonquin College,Photography,125
Algonquin College,Police Foundations,776
Algonquin College,Powerline Technician,76
Algonquin College,Practical Nursing,320
Algonquin College,Pre-service Firefighter Education And Training,58
Algonquin College,Professional Accounting,56
Algonquin College,Professional Writing,89
Algonquin College,Public Relations,104
Algonquin College,Radiation Safety,21
Algonquin College,Recreation And Leisure Services,109
Algonquin College,Recreational Tourism Management,165
Algonquin College,Renovation Techniques,15
Algonquin College,Research Analyst,14
Algonquin College,Respiratory Therapy,68
Algonquin College,Social Service Worker,244
Algonquin College,Sport Business Management,42
Algonquin College,Teachers Of English As A Second/foreign Language,20
Algonquin College,Technical Writer,41
Algonquin College,Theatre Arts - Production,55
Algonquin College,Tourism And Travel,174
Algonquin College,Veterinary Technician,114
Algonquin College,Victimology,38
Algonquin College,Water And Waste Water Technician,31
Algonquin College,Welding Techniques,59
Algonquin College,Wireless/Mobility Telecommunications Engineering Technician,42
Cambrian College,Advanced Care Paramedic,11
Cambrian College,Animation,46
Cambrian College,Art Fundamentals,30
Cambrian College,Baking - Pre-employment,N/A
Cambrian College,Business,71
Cambrian College,Business - Accounting,58
Cambrian College,Business Administration,52
Cambrian College,Business Administration - Accounting,32
Cambrian College,Business Fundamentals,31
Cambrian College,Chemical Engineering Technology,61
Cambrian College,Child And Youth Worker,81
Cambrian College,Civil Engineering Technician,99
Cambrian College,Civil Engineering Technology,26
Cambrian College,Community And Justice Services,45
Cambrian College,Computer Networking And Technical Support,N/A
Cambrian College,Computer Systems Technology,57
Cambrian College,Dental Assisting (levels I And Ii),N/A
Cambrian College,Dental Hygiene,89
Cambrian College,Developmental Services Worker,51
Cambrian College,Early Childhood Education,188
Cambrian College,Electrical Engineering Technician,43
Cambrian College,Electrical Engineering Technology,36
Cambrian College,Electrical Techniques,94
Cambrian College,Energy Systems Engineering Technology,10
Cambrian College,Environmental Control,17
Cambrian College,Fine Arts And Crafts - Advanced,61
Cambrian College,Fitness Management,105
Cambrian College,General Arts And Science,108
Cambrian College,General Arts And Science - One-year,24
Cambrian College,"Heating, Air Conditioning And Refrigeration Techniques",62
Cambrian College,"Heating, Refrigeration And Air Conditionning Technician",26
Cambrian College,Heavy Equipment Technician,11
Cambrian College,Hospitality Management,N/A
Cambrian College,Human Resources Management,24
Cambrian College,Information Systems Business Analyst,N/A
Cambrian College,Instrumentation Engineering Technician,N/A
Cambrian College,Instrumentation Engineering Technology,12
Cambrian College,Law And Security - Basic,23
Cambrian College,Law And Security Administration,N/A
Cambrian College,Learning Disability Specialist,N/A
Cambrian College,Magnetic Resonance Imaging,N/A
Cambrian College,Mechanical Engineering Technician,17
Cambrian College,Mechanical Techniques,38
Cambrian College,Medical Imaging Technology - Radiography,95
