College Name,Stud Perm Addr Province State Code,Head Count - Fall
Algonquin College,AB,14
Algonquin College,BC,18
Algonquin College,CT,N/A
Algonquin College,MB,14
Algonquin College,MD,N/A
Algonquin College,NA,15
Algonquin College,NB,26
Algonquin College,NL,10
Algonquin College,NS,22
Algonquin College,NT,N/A
Algonquin College,NU,N/A
Algonquin College,OH,N/A
Algonquin College,OK,N/A
Algonquin College,ON,14825
Algonquin College,PE,N/A
Algonquin College,QC,609
Algonquin College,SK,N/A
Algonquin College,VA,N/A
Algonquin College,VT,N/A
Algonquin College,WA,N/A
Cambrian College,AB,N/A
Cambrian College,MB,N/A
Cambrian College,NA,3233
Cambrian College,ON,106
Canadore College,AB,N/A
Canadore College,BC,N/A
Canadore College,MB,N/A
Canadore College,NA,29
Canadore College,NB,N/A
Canadore College,NJ,N/A
Canadore College,NL,N/A
Canadore College,NS,N/A
Canadore College,NT,N/A
Canadore College,ON,2278
Canadore College,QC,73
Canadore College,SK,N/A
Canadore College,YT,N/A
Centennial College,AB,N/A
Centennial College,BC,N/A
Centennial College,MB,N/A
Centennial College,NA,70
Centennial College,NB,N/A
Centennial College,NL,N/A
Centennial College,NM,N/A
Centennial College,NS,N/A
Centennial College,ON,8889
Centennial College,OR,N/A
Centennial College,PE,N/A
Centennial College,QC,N/A
Centennial College,SK,N/A
Centennial College,ZZ,N/A
Collège Boréal,AB,N/A
Collège Boréal,NB,N/A
Collège Boréal,ON,1323
Collège Boréal,QC,75
Collège Boréal,SK,N/A
Collège Boréal,ZZ,N/A
Conestoga College,AB,N/A
Conestoga College,BC,N/A
Conestoga College,MB,N/A
Conestoga College,NB,N/A
Conestoga College,NJ,N/A
Conestoga College,NS,N/A
Conestoga College,ON,9013
Conestoga College,PE,N/A
Conestoga College,QC,N/A
Confederation College,AB,N/A
Confederation College,BC,N/A
Confederation College,MB,21
Confederation College,MN,N/A
Confederation College,NS,N/A
Confederation College,NT,N/A
Confederation College,ON,2905
Confederation College,QC,N/A
Confederation College,SK,N/A
Durham College,AB,N/A
