College Name,Status In Canada Description,Head Count - Fall
Algonquin College,Canadian Citizen,14741
Algonquin College,Convention refugee (protected person),15
Algonquin College,"In Canada on authority of another visa (including students who are in Canada on diplomatic, trade or other missions)",43
Algonquin College,Other,31
Algonquin College,"Permanent resident, formerly called landed immigrant",732
Algonquin College,Refugee status,22
Cambrian College,Canadian Citizen,N/A
Cambrian College,"Permanent resident, formerly called landed immigrant",53
Cambrian College,Unknown,3285
Canadore College,Canadian Citizen,2271
Canadore College,Convention refugee (protected person),N/A
Canadore College,"Permanent resident, formerly called landed immigrant",27
Canadore College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Canadore College,Unknown,99
Centennial College,Canadian Citizen,7217
Centennial College,Convention refugee (protected person),73
Centennial College,"Permanent resident, formerly called landed immigrant",1642
Centennial College,Refugee status,N/A
Centennial College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Centennial College,Unknown,53
Collège Boréal,Canadian Citizen,1230
Collège Boréal,Convention refugee (protected person),20
Collège Boréal,"Permanent resident, formerly called landed immigrant",155
Collège Boréal,Refugee status,N/A
Collège Boréal,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Conestoga College,Canadian Citizen,8541
Conestoga College,Convention refugee (protected person),N/A
Conestoga College,Other,N/A
Conestoga College,"Permanent resident, formerly called landed immigrant",468
Conestoga College,Refugee status,N/A
Conestoga College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Confederation College,Canadian Citizen,2896
Confederation College,Convention refugee (protected person),N/A
Confederation College,"Permanent resident, formerly called landed immigrant",45
Confederation College,Refugee status,N/A
Confederation College,Unknown,N/A
Durham College,Attending an off-shore school,N/A
Durham College,Canadian Citizen,8974
Durham College,Convention refugee (protected person),N/A
Durham College,"Permanent resident, formerly called landed immigrant",179
Durham College,Refugee status,N/A
Durham College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Durham College,Unknown,N/A
Fanshawe College,Canadian Citizen,11924
Fanshawe College,Other,N/A
Fanshawe College,"Permanent resident, formerly called landed immigrant",387
Fanshawe College,Refugee status,16
Fanshawe College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
Fanshawe College,Unknown,N/A
George Brown College,Canadian Citizen,13628
George Brown College,Convention refugee (protected person),69
George Brown College,Other,N/A
George Brown College,"Permanent resident, formerly called landed immigrant",1758
George Brown College,Refugee status,N/A
George Brown College,Student permit/ Student visa: a permit obtained by a student to enter Canada for the sole purpose of attending an educational postsecondary institution,N/A
George Brown College,Unknown,44
Georgian College,Canadian Citizen,8301
