NOC 2006,Occupation,Skill Level,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0011,Legislators,MGMT,345.99425224331867,365.76075752490857,373.47902785657101,366.58558762850589,359.62048814592464,353.44950603971824,367.57008106124329,362.46731538992742,354.07919470255104,352.68413771062768,358.29886185283078
0012,Senior Government Managers and Officials,MGMT,3858.9369829960224,4079.3952696208066,4162.3002039712092,4101.3760660586577,4038.7091506409988,4026.1568085449453,4206.3990377950868,4221.657992333694,4216.40986813781,4230.8469462369176,4266.7758183808155
0013,"Senior Managers - Financial, Communications and Other Business Services",MGMT,15277.694905421857,16152.671601967002,16587.365716264856,16178.159696157256,15989.781264615118,15994.923956723329,16675.403079369833,16739.981739322673,16701.690134089647,16773.137734705746,16920.101611977396
0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",MGMT,4984.9473706072677,4961.7348541113224,5166.97363575284,5410.7806180955768,5672.9509480279976,5812.2538747736835,5692.3534730658757,5842.6720683685489,5927.3023792507993,5987.2656455487531,6010.5696447230057
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",MGMT,1143.9842539070719,1156.473449481359,1134.1561945375261,1113.2226550805622,1159.622320394561,1204.2713350944491,1182.4112565791536,1155.4980697805042,1166.4701700264293,1189.2710140645074,1204.265280300373
0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction",MGMT,4009.717774807998,4236.9049597929079,4408.2397668780577,4517.6308386202691,4495.3530530884809,4396.4900877839964,4572.133191200458,4620.0054473663413,4634.3213774764272,4636.9763471670094,4650.8686675932877
0111,Financial Managers,MGMT,33606.237249706035,33455.87106764286,34305.92431210725,35075.698297329858,34851.889462318402,35559.741017947374,35694.488535495533,36070.469330540982,36291.247859162148,36462.879353693177,36763.130344238103
0112,Human Resources Managers,MGMT,15141.750935067184,15074.355761684845,15172.539416972648,15963.051795873362,16452.86428717641,16423.717615380097,16290.035381223464,16502.822952277907,16714.310080964897,16833.579380760348,16896.256995368254
0113,Purchasing Managers,MGMT,4504.861981802128,4760.1754078706972,4668.3150647805769,4619.2572992565929,4531.491746809399,4659.0312512895725,4868.9487663855161,4838.0713442489814,4833.6376516001528,4847.9290525020087,4909.2373960281366
0114,Other Administrative Services Managers,MGMT,9330.8306623197059,9287.3243277938345,9397.4755277673739,9794.5809685879503,10202.823899158469,9978.4407611745519,9772.5965090434402,9981.2769170567699,10196.279128363745,10346.532383150492,10302.314745705924
