NOC 2006,Occupation,Skill Level,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0631,Restaurant and Food Service Managers,MGMT,45111.398707485561,47688.437293298222,46826.557597693187,46893.509606970008,46637.690858306712,47847.510414010714,48615.718213756882,48677.292642043321,48863.161670992806,49164.223389947038,49643.191893370968
0632,Accommodation Service Managers,MGMT,19265.731150730509,19177.941465558375,19792.666628431922,19883.375895477584,20593.773492193915,20835.672480033842,20658.35520180942,20915.195831930519,21064.204480349639,21263.694010134299,21382.404529068044
0712,Residential Home Builders and Renovators,MGMT,55287.345803678014,55042.006112398696,57147.333186299533,58745.578429863504,59268.453962599902,60187.743517997464,59819.160464448287,60667.008864006297,61154.920830678966,61519.994350183129,61928.990008634144
1111,Financial Auditors and Accountants,A,83794.273118608748,83417.67391351964,86067.765882443578,87085.303402974183,89550.089653146119,89208.988589650748,89683.531358312146,90764.35617021416,91374.077965979523,92064.298161735031,92497.463482351988
1114,Other Financial Officers,A,57243.069433877856,56988.272483037334,59345.553553741163,60605.968364285465,60974.577530456489,62316.345068686715,61665.694354813204,62670.419483254234,63108.737282582872,63488.931200687563,63950.918828763133
1121,Specialists in Human Resources,A,33303.297738384077,34123.459324709816,34917.853600091679,34991.453765669459,35014.671407252288,35653.068284069872,35997.262787797052,36294.938506082341,36432.921227895458,36651.696173574681,36957.202946102727
1223,Personnel and Recruitment Officers,B,11965.832994452421,12058.432406033451,11825.732631750849,12325.447981138641,12775.623858026556,12621.049050623555,12685.928579054587,12764.829374339906,12934.518279100865,13032.636793047452,13073.267882996483
1224,Property Administrators,B,13925.791521429566,14284.295262862037,15013.163752244547,15251.977793243077,14849.255775563806,15165.330254967659,15363.37796404361,15549.740689848149,15597.574828842626,15634.183548687797,15782.62370139244
1226,Conference and Event Planners,B,13616.783729363488,13554.177369436755,13999.235991085261,14307.85455694888,14501.971672944697,15060.342045225747,14749.663761832991,14961.582027810371,15100.943938048989,15231.819686227878,15368.227456636754
1228,"Immigration, Employment Insurance and Revenue Officers",B,10463.82912414366,10446.156328158766,10706.090188236927,11055.252890074638,10923.697827571657,11086.913210242568,11170.487950729936,11293.195684548687,11369.638171334673,11409.449355884402,11499.563951796559
1422,Data Entry Clerks,C,20549.636329042605,21722.594809908845,21374.090648581438,21818.898081803363,21638.573083535597,21681.797336033171,22306.027501762012,22367.822611140749,22483.502719070271,22571.245136067249,22743.601106780072
1423,Desktop Publishing Operators and Related Occupations,C,1750.9391682167575,1742.1821812460541,1702.7514518945088,1774.7039527348925,1848.6744825403557,1919.8541182084389,1880.2496404917365,1912.5603622404722,1956.8242559724529,1992.0017975780695,2011.8970927833614
1431,Accounting and Related Clerks,C,67000.589873062287,70825.447925915185,71605.980597672635,72158.316105434074,72238.89850914944,72546.080791644199,74054.745213781745,74534.307547783392,74838.870712573174,75229.340863083897,75779.088321166026
1432,Payroll Clerks,C,16237.659273056797,17165.384902576712,17832.116144558397,18472.985948723581,18413.897054572932,17967.584000797327,18512.507458367567,18747.018699824544,18861.301989468397,18899.352191438367,18981.858117529566
1434,"Banking, Insurance and Other Financial Clerks",C,20138.727191026712,20050.028087328938,20879.383841016857,21433.706422914627,21677.509326073057,21445.064123040316,21602.383781368753,22001.937909235377,22146.3729868517,22244.992624324248,22341.286375976393
1435,Collectors,C,11156.854541299397,11563.019576042007,11299.371484059191,11090.814814302323,11553.085406220027,11846.84189583958,11888.652971731512,11871.03231299929,11889.597231051137,12065.054153257661,12159.992347491952
