#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,COLL_RGN_CD,COLL_CD,NAICS_CODE_RANK,NAICS_CODE_PERCENTAGE,NAICS_CODE,NAICS_DESCRIPTION_ENGLISH,NAICS_DESCRIPTION_FRENCH
Cl,-1,A,A01,-1,-1,1,24,512,Motion picture and sound recording industries,Industries du film et de l'enregistrement sonore
Cl,-1,A,A01,-1,-1,2,24,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A01,-1,-1,3,17,515,Broadcasting (except internet),Radiotélévision (sauf par Internet)
Cl,-1,A,A01,-1,-1,4,9,511,Publishing industries (except internet),Édition (sauf par Internet)
Cl,-1,A,A01,-1,-1,5,3,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A02,-1,-1,1,43,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A02,-1,-1,2,10,611,Educational services,Services d'enseignement
Cl,-1,A,A02,-1,-1,3,8,512,Motion picture and sound recording industries,Industries du film et de l'enregistrement sonore
Cl,-1,A,A02,-1,-1,4,8,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A02,-1,-1,5,4,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A03,-1,-1,1,43,812,Personal and laundry services,Services personnels et services de blanchissage
Cl,-1,A,A03,-1,-1,2,25,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A03,-1,-1,3,9,446,Health and personal care stores,Magasins de produits de santé et de soins personnels
Cl,-1,A,A03,-1,-1,4,5,452,General merchandise stores,Magasins de marchandises diverses
Cl,-1,A,A03,-1,-1,5,3,315,Clothing manufacturing,Fabrication de vêtements
Cl,-1,A,A04,-1,-1,1,51,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A04,-1,-1,2,4,442,Furniture and home furnishings stores,Magasins de meubles et d'accessoires de maison
Cl,-1,A,A04,-1,-1,3,4,444,Building material and garden equipment and supplies dealers,Marchands de matériaux de construction et de matériel et fournitures de jardinage
Cl,-1,A,A04,-1,-1,4,4,323,Printing and related support activities,Impression et activités connexes de soutien
Cl,-1,A,A04,-1,-1,4,4,511,Publishing industries (except internet),Édition (sauf par Internet)
Cl,-1,A,A05,-1,-1,1,27,712,Heritage institutions,Établissements du patrimoine
Cl,-1,A,A05,-1,-1,2,16,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A05,-1,-1,3,9,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A05,-1,-1,4,4,453,Miscellaneous store retailers,Magasins de détail divers
Cl,-1,A,A05,-1,-1,5,3,337,Furniture and related product manufacturing,Fabrication de meubles et de produits connexes
Cl,-1,A,A05,-1,-1,5,3,611,Educational services,Services d'enseignement
Cl,-1,A,A18,-1,-1,3,12,611,Educational services,Services d'enseignement
Cl,-1,A,A06,-1,-1,1,46,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A06,-1,-1,2,17,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A06,-1,-1,3,15,339,Miscellaneous manufacturing,Activités diverses de fabrication
Cl,-1,A,A06,-1,-1,4,2,611,Educational services,Services d'enseignement
Cl,-1,A,A06,-1,-1,4,2,811,Repair and maintenance,Réparation et entretien
Cl,-1,A,A07,-1,-1,1,57,323,Printing and related support activities,Impression et activités connexes de soutien
Cl,-1,A,A07,-1,-1,2,30,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A07,-1,-1,3,4,339,Miscellaneous manufacturing,Activités diverses de fabrication
Cl,-1,A,A07,-1,-1,3,4,511,Publishing industries (except internet),Édition (sauf par Internet)
Cl,-1,A,A07,-1,-1,3,4,611,Educational services,Services d'enseignement
Cl,-1,A,A08,-1,-1,1,53,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A08,-1,-1,2,9,111,Crop production,Cultures agricoles
Cl,-1,A,A08,-1,-1,3,7,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A08,-1,-1,4,6,444,Building material and garden equipment and supplies dealers,Marchands de matériaux de construction et de matériel et fournitures de jardinage
Cl,-1,A,A08,-1,-1,4,6,453,Miscellaneous store retailers,Magasins de détail divers
Cl,-1,A,A09,-1,-1,1,10,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A09,-1,-1,2,8,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A09,-1,-1,3,7,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A09,-1,-1,4,6,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,A,A09,-1,-1,5,5,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A10,-1,-1,1,47,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A10,-1,-1,2,7,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A10,-1,-1,3,6,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,A,A10,-1,-1,4,4,911,Federal government public administration,Administration publique fédérale
Cl,-1,A,A10,-1,-1,5,4,624,Social assistance,Assistance sociale
Cl,-1,A,A11,-1,-1,1,35,611,Educational services,Services d'enseignement
Cl,-1,A,A11,-1,-1,2,18,519,Other information services,Autres services d'information
Cl,-1,A,A11,-1,-1,3,9,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A11,-1,-1,3,9,911,Federal government public administration,Administration publique fédérale
Cl,-1,A,A11,-1,-1,5,4,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,A,A12,-1,-1,1,75,624,Social assistance,Assistance sociale
Cl,-1,A,A12,-1,-1,2,20,611,Educational services,Services d'enseignement
Cl,-1,A,A12,-1,-1,3,1,814,Private households,Ménages privés
Cl,-1,A,A12,-1,-1,4,1,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A12,-1,-1,5,1,713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries"
Cl,-1,A,A13,-1,-1,1,34,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A13,-1,-1,2,31,624,Social assistance,Assistance sociale
Cl,-1,A,A13,-1,-1,3,20,611,Educational services,Services d'enseignement
Cl,-1,A,A13,-1,-1,4,5,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A13,-1,-1,5,3,622,Hospitals,Hôpitaux
Cl,-1,A,A14,-1,-1,1,40,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A14,-1,-1,2,31,624,Social assistance,Assistance sociale
Cl,-1,A,A14,-1,-1,3,18,611,Educational services,Services d'enseignement
Cl,-1,A,A14,-1,-1,4,5,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A14,-1,-1,5,1,622,Hospitals,Hôpitaux
Cl,-1,A,A15,-1,-1,1,37,713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries"
Cl,-1,A,A15,-1,-1,2,16,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A15,-1,-1,3,6,624,Social assistance,Assistance sociale
Cl,-1,A,A15,-1,-1,4,6,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A15,-1,-1,5,4,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A16,-1,-1,1,36,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A16,-1,-1,2,10,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,A,A16,-1,-1,3,4,611,Educational services,Services d'enseignement
Cl,-1,A,A16,-1,-1,4,3,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A16,-1,-1,4,3,622,Hospitals,Hôpitaux
Cl,-1,A,A16,-1,-1,4,3,912,Provincial and territorial public administration,Administrations publiques provinciales et territoriales
Cl,-1,A,A18,-1,-1,4,9,517,Telecommunications,Télécommunications
Cl,-1,A,A17,-1,-1,1,39,624,Social assistance,Assistance sociale
Cl,-1,A,A17,-1,-1,2,21,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A17,-1,-1,3,11,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A17,-1,-1,4,8,611,Educational services,Services d'enseignement
Cl,-1,A,A17,-1,-1,5,4,622,Hospitals,Hôpitaux
Cl,-1,A,A18,-1,-1,1,50,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A18,-1,-1,2,15,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,A,A18,-1,-1,5,6,237,Heavy and civil engineering construction,Travaux de génie civil
Cl,-1,A,A19,-1,-1,1,45,624,Social assistance,Assistance sociale
Cl,-1,A,A19,-1,-1,2,15,914,Aboriginal public administration,Administrations publiques autochtones
Cl,-1,A,A19,-1,-1,3,9,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,A,A19,-1,-1,4,6,611,Educational services,Services d'enseignement
Cl,-1,A,A19,-1,-1,4,6,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,B,B01,-1,-1,1,43,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B01,-1,-1,2,9,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B01,-1,-1,3,6,911,Federal government public administration,Administration publique fédérale
Cl,-1,B,B01,-1,-1,4,4,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B01,-1,-1,5,3,611,Educational services,Services d'enseignement
Cl,-1,B,B02,-1,-1,1,49,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,B,B02,-1,-1,2,26,622,Hospitals,Hôpitaux
Cl,-1,B,B02,-1,-1,3,4,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B02,-1,-1,4,3,611,Educational services,Services d'enseignement
Cl,-1,B,B02,-1,-1,5,2,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B03,-1,-1,1,74,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B03,-1,-1,5,1,531,Real estate,Services immobiliers
Cl,-1,B,B03,-1,-1,2,8,912,Provincial and territorial public administration,Administrations publiques provinciales et territoriales
Cl,-1,B,B03,-1,-1,3,4,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B03,-1,-1,4,3,524,Insurance carriers and related activities,Sociétés d'assurance et activités connexes
Cl,-1,B,B03,-1,-1,5,1,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B04,-1,-1,1,16,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B04,-1,-1,2,10,611,Educational services,Services d'enseignement
Cl,-1,B,B04,-1,-1,3,7,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,B,B04,-1,-1,4,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B04,-1,-1,5,4,524,Insurance carriers and related activities,Sociétés d'assurance et activités connexes
Cl,-1,B,B05,-1,-1,1,65,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B05,-1,-1,2,10,721,Accommodation services,Services d'hébergement
Cl,-1,B,B05,-1,-1,3,6,311,Food manufacturing,Fabrication d'aliments
Cl,-1,B,B05,-1,-1,4,5,713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries"
Cl,-1,B,B05,-1,-1,5,4,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,B,B06,-1,-1,1,9,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B06,-1,-1,2,9,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B06,-1,-1,3,6,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B06,-1,-1,4,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B06,-1,-1,5,3,488,Support activities for transportation,Activités de soutien au transport
Cl,-1,B,B07,-1,-1,1,19,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B07,-1,-1,2,12,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B07,-1,-1,3,12,524,Insurance carriers and related activities,Sociétés d'assurance et activités connexes
Cl,-1,B,B07,-1,-1,4,6,523,"Securities, commodity contracts, and other financial investment and related activities","Valeurs mobilières, contrats de marchandises et autres activités d'investissement financier connexes"
Cl,-1,B,B07,-1,-1,5,3,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B10,-1,-1,1,35,912,Provincial and territorial public administration,Administrations publiques provinciales et territoriales
Cl,-1,B,B10,-1,-1,2,24,911,Federal government public administration,Administration publique fédérale
Cl,-1,B,B10,-1,-1,3,7,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,B,B10,-1,-1,4,6,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,B,B10,-1,-1,5,5,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B10,-1,-1,5,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B11,-1,-1,1,16,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B11,-1,-1,2,10,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B11,-1,-1,3,5,611,Educational services,Services d'enseignement
Cl,-1,B,B11,-1,-1,4,4,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B11,-1,-1,5,4,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B12,-1,-1,1,20,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B12,-1,-1,2,6,441,Motor vehicle and parts dealers,Concessionnaires de véhicules et de pièces automobiles
Cl,-1,B,B12,-1,-1,3,6,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,B,B12,-1,-1,4,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B12,-1,-1,5,4,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B13,-1,-1,1,13,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,B,B13,-1,-1,2,12,911,Federal government public administration,Administration publique fédérale
Cl,-1,B,B13,-1,-1,3,7,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B13,-1,-1,4,5,334,Computer and electronic product manufacturing,Fabrication de produits informatiques et électroniques
Cl,-1,B,B13,-1,-1,5,4,493,Warehousing and storage,Entreposage
Cl,-1,B,B14,-1,-1,1,11,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B14,-1,-1,2,6,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
