#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,COLL_RGN_CD,COLL_CD,NOC_CODE_RANK,NOC_CODE_PERCENTAGE,NOC_CODE,NOC_DESCRIPTION_ENGLISH,NOC_DESCRIPTION_FRENCH
Program,C-40513,B,B01,-1,-1,3,20,15,"Senior managers - trade, broadcasting and other services, n.e.c.","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a."
Program,G-71304,T,T03,-1,-1,5,7,15,"Senior managers - trade, broadcasting and other services, n.e.c.","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a."
Program,G-70516,B,B01,-1,-1,5,1,16,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique"
Program,G-70102,B,B07,-1,-1,2,8,111,Financial managers,Directeurs financiers/directrices financières
Program,G-70724,A,A17,-1,-1,4,7,111,Financial managers,Directeurs financiers/directrices financières
Program,C-42400,B,B07,-1,-1,4,2,111,Financial managers,Directeurs financiers/directrices financières
Program,G-72801,B,B07,-1,-1,5,4,111,Financial managers,Directeurs financiers/directrices financières
Cl,-1,B,B11,-1,-1,5,3,112,Human resources managers,Directeurs/directrices des ressources humaines
Program,A-63111,B,B05,-1,-1,1,25,112,Human resources managers,Directeurs/directrices des ressources humaines
Program,B-80223,B,B11,-1,-1,4,4,112,Human resources managers,Directeurs/directrices des ressources humaines
Program,G-70223,B,B11,-1,-1,4,3,112,Human resources managers,Directeurs/directrices des ressources humaines
Program,A-63905,A,A08,-1,-1,4,2,114,Other administrative services managers,Directeurs/directrices d'autres services administratifs
Program,G-71005,T,T07,-1,-1,4,4,114,Other administrative services managers,Directeurs/directrices d'autres services administratifs
Program,D-50703,A,A17,-1,-1,5,2,114,Other administrative services managers,Directeurs/directrices d'autres services administratifs
Program,B-80509,T,T06,-1,-1,5,3,121,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier"
Program,A-62907,B,B12,-1,-1,5,3,121,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier"
Cl,-1,A,A16,-1,-1,3,2,124,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques"
