S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
C-40100,N,CANA,CANA01185,Accounting Foundations,TRUE,FALSE,FALSE
C-40100,GTA,SENE,SENE01281,Accounting Techniques,TRUE,TRUE,TRUE
C-40200,N,NORT,NORT01194,Management,TRUE,TRUE,TRUE
C-40205,SW,LAMB,LAMB01061,Pre-business,TRUE,FALSE,FALSE
C-40205,GTA,CENT,CENT01203,Pre-business,TRUE,TRUE,FALSE
C-40205,GTA,GRBR,GRBR01204,Pre-business,TRUE,TRUE,FALSE
C-40205,GTA,SENE,SENE01264,Pre-Business,TRUE,TRUE,FALSE
C-40208,SE,LACI,LACI01173,Pratiques en administration des affaires,TRUE,TRUE,TRUE
C-40208,N,CONF,CONF01178,Business Fundamentals,TRUE,TRUE,TRUE
C-40208,GTA,DURH,DURH01181,Business Fundamentals,TRUE,TRUE,TRUE
C-40208,CE,CONS,CONS01196,Business Foundations,TRUE,TRUE,TRUE
C-40208,SE,SLAW,SLAW01212,Business Fundamentals,TRUE,TRUE,FALSE
C-40208,CE,GEOR,GEOR01230,Business Fundamentals,TRUE,TRUE,TRUE
C-40208,CE,MOHA,MOHA01231,Business Foundations,TRUE,TRUE,TRUE
C-40208,GTA,SENE,SENE01264,Business Fundamentals,TRUE,FALSE,FALSE
C-40208,SW,FANS,FANS01264,Business Foundations,TRUE,TRUE,TRUE
C-40208,GTA,CENT,CENT01283,Business Foundations,TRUE,TRUE,FALSE
C-40208,N,CAMB,CAMB01285,Business Fundamentals,TRUE,TRUE,TRUE
C-40214,CE,GEOR,GEOR01192,Business Foundations,TRUE,FALSE,FALSE
C-40217,SW,STCL,STCL01173,Quality Assurance And Management - Level Ii,TRUE,FALSE,FALSE
C-40231,CE,MOHA,MOHA01207,Small Business And Entrepreneurship,TRUE,TRUE,TRUE
C-40231,CE,MOHA,MOHA01233,Aboriginal Small Business Management,TRUE,TRUE,TRUE
C-40231,SW,FANS,FANS01280,Entrepreneurship,TRUE,TRUE,TRUE
C-40264,GTA,SENE,SENE01243,Independent Music Production,TRUE,TRUE,TRUE
C-40264,N,CAMB,CAMB01300,Independent Music Production,TRUE,TRUE,FALSE
C-40264,GTA,SENE,SENE01302,Independent Songwriting and Performance,FALSE,TRUE,FALSE
C-40400,SE,LOYT,LOYT01089,Residential Drafting And Design Techniques,TRUE,TRUE,TRUE
C-40505,N,SAUL,SAUL01170,Computer Foundations,TRUE,FALSE,TRUE
C-40508,SW,FANS,FANS01213,Computer Applications Support,TRUE,FALSE,TRUE
C-40509,GTA,CENT,CENT01148,Computer Repair And Maintenance,TRUE,TRUE,TRUE
C-40511,N,BORE,BORE01127,Soutien Technique En Informatique,TRUE,TRUE,TRUE
C-40511,GTA,SHER,SHER01236,Help Desk Technician,TRUE,TRUE,TRUE
C-40513,SE,SSFL,SSFL01238,Internet Applications and Web Development Fundamentals,TRUE,FALSE,TRUE
C-40513,SW,FANS,FANS01252,Web Development Essentials,TRUE,TRUE,TRUE
C-40719,SW,FANS,FANS01006,Human Services Foundation,TRUE,TRUE,FALSE
C-40719,SW,LAMB,LAMB01057,Human Services Foundation,TRUE,TRUE,FALSE
C-40719,CE,CONS,CONS01153,Human Services Foundation,TRUE,TRUE,FALSE
C-40719,CE,NIAG,NIAG01181,Pre-community Services,TRUE,FALSE,FALSE
C-40719,GTA,DURH,DURH01204,Community Services and Child Studies Foundations,TRUE,TRUE,FALSE
C-40719,GTA,GRBR,GRBR01228,Pre-community Services,TRUE,TRUE,FALSE
C-40719,GTA,CENT,CENT01239,Community Services & Child Studies Foundations,TRUE,TRUE,FALSE
C-40719,CE,MOHA,MOHA01249,Human Services Foundation,TRUE,TRUE,FALSE
C-40719,SE,SSFL,SSFL01258,Human Service Foundations,TRUE,TRUE,FALSE
