Variable Name (Nom de la variable),Description English,Description français,Code,Code Description English,Description du code français
,,,,,
#AGGR_TYPE_CD,Aggregation level of record,Niveau de l'enregistrement de l'agrégation,Cl,Occupational cluster,Groupe de programme 
,,,Co,College,Collège
,,,Dv,Occupational division,Le domaine d' études 
,,,Program,Program,Programme 
,,,Rg,Region,Région
,,,Sy,"System (i.e., province)",Système
,,,,,
S_MTCU,Program code,Code de programme,A-60100,Business Administration - Accounting,Administration des affaires - comptabilité
,,,A-60200,Business Administration,Administration des affaires
,,,A-60201,Business Administration - Finance,Administration des affaires - finance
,,,A-60202,Business Administration - International Business,Administration des affaires - Commerce international
,,,A-60204,Business Administration - Professional Golf Management,Administration des affaires - gestion du golf professionnel
,,,A-60209,Industrial Engineering Technology - Management,Technologie du génie industriel - gestion
,,,A-60217,Business Administration - Operations Management,Administration des affaires - gestion des activités
,,,A-60223,Business Administration - Human Resources,Administration des affaires - gestion des ressources humaines,,,
,,,A-60231,Business Administration - Small Business Management,Administration des affaires - gestion de petites entreprises,,,
,,,A-60243,Public Relations - 3 year,Relations publiques - 3 ans,,,
,,,A-60261,Air Carrier/airport Management Technology,Administration des aéroports et des transports aériens,,,
,,,A-60262,Aviation Safety,Sécurité d'aviation,,,
,,,A-60272,E-commerce Management,Gestion du commerce électronique,,,
,,,A-60500,Business Administration - Information Systems,Administration des affaires - informatique,,,
,,,A-60503,Computer Programmer Analyst,Informatique - programmation et analyse,,,
,,,A-60504,Software Engineering Technology,Technologie du génie logiciel,,,
,,,A-60505,Computer Systems Technology,Technologie des systèmes informatiques,,,
,,,A-60509,Computer Engineering Technology,Technologie du génie informatique,,,
,,,A-60513,Technology Of Website Development,Technologie de projet Internet,,,
,,,A-60518,IT Innovation and Design,Innovation et conception - technologie de l'information,,,
,,,A-60600,Architectural Technology,Technologie de l'architecture,,,
,,,A-60701,Child And Youth Worker,Techniques d'éducation spécialisée - 3 ans,,,
,,,A-60719,Behavioural Science Technology,Technologie des sciences du comportement,,,
,,,A-60735,American Sign Language - English Interpreter,Interprétation en langage gestuel,,,
,,,A-60807,Museum Technology,Technologie des musées,,,
,,,A-61003,Civil Engineering Technology,Technologie du génie civil,,,
,,,A-61007,Mechanical Engineering Technology,Technologie du génie mécanique,,,
,,,A-61011,Instrumentation Engineering Technology,Technologie du génie des instruments de précision,,,
,,,A-61020,Photonics Engineering Technology,Technologie du génie de la photonique,,,
,,,A-61021,Electro-mechanical Engineering Technology,Technologie du génie électromécanique,,,
,,,A-61101,Automation Engineering Technology,Technologie du génie de l'automatisation,,,
,,,A-61301,Chemical Engineering Technology,Technologie du génie chimique,,,
,,,A-61302,Chemical Laboratory Technology,Technologie chimique,,,
,,,A-61303,Biomedical Engineering Technology,Technologie du génie biomédical,,,
,,,A-61304,Biotechnology Technologist,Biotechnologiste,,,
,,,A-61603,Veterinary Technology,Technologie des soins vétérinaires,,,
,,,A-61605,Medical Imaging Technology - Radiography,Radiographie,,,
,,,A-61607,Dental Technology,Technologie des soins dentaires,,,
,,,A-61608,Bridging Program For Medical Laboratory Technology,Programme de mise à niveau pour technologue de laboratoire médical,,,
,,,A-61609,Medical Laboratory Technology,Technologie du laboratoire médical,,,
,,,A-61610,Medical Imaging Technology - Ultrasonography,Technologie d'imagerie médicale - ultrasonographie,,,
,,,A-61615,Respiratory Therapy,Thérapie respiratoire,,,
,,,A-61618,Massage Therapy,Massothérapie,,,
,,,A-61626,Denturism,Denturothérapie,,,
,,,A-61628,Dental Hygiene,Hygiène dentaire,,,
,,,A-61643,Health Informatics Technology,Technologie de l'information en santé - 3 ans,,,
,,,A-61645,Hearing Instrument Specialist - 3 year,Audioprothésiste - 3 ans,,,
,,,A-61800,Fine Arts And Crafts - Advanced,Beaux-arts et artisant - avancés,,,
,,,A-61803,Ceramics - Advanced,Céramique - avancée,,,
,,,A-61806,Jewellery Arts,Les arts de la joaillerie,,,
,,,A-61820,Graphic Design,Conception graphique,,,
,,,A-61823,Fashion Arts,Mode,,,
,,,A-61833,Interior Design - 3 year,Design d'intérieur - avancé,,,
,,,A-61850,Game Programming,Programmation de jeux multimédia,,,
,,,A-61900,Game Development,Conception de jeux multimédia,,,
,,,A-61901,Animation,Animation,,,
,,,A-61903,Broadcasting - Radio And Television - 3 year,Radiotélédiffusion - 3 ans,,,
,,,A-61907,Music,Musique,,,
,,,A-61911,Theatre Arts,Arts dramatiques,,,
,,,A-61912,Music Theatre - Performance,Théâtre musical - interprétation,,,
,,,A-61913,Theatrical Production Arts,Arts liés à la production théâtrale,,,
,,,A-61914,Music Business Management,Administration de l'industrie musicale,,,
,,,A-61920,Entertainment Technology,Technologie du spectacle,,,
,,,A-62005,Journalism - Print,Journalisme - écrit,,,
,,,A-62006,Journalism - Print And Broadcast,Journalisme - écrit et de radiotélévision - 3 ans,,,
,,,A-62100,Advertising - 3 year,Publicité - 3 ans,,,
,,,A-62203,Sports And Entertainment Administration,Administration des loisirs,,,
,,,A-62209,Fitness Management,Gestion de l'activité physique,,,
,,,A-62211,Sport Management,Gestion des activités sportives - 3 ans,,,
,,,A-62611,Legal Administration,Administration juridique,,,
,,,A-62700,Environmental Technology,Technologie de l'environnement,,,
,,,A-62709,Fish And Wildlife Technology,Technologie de la pêche et de la faune,,,
,,,A-62801,Financial Planning Management,Gestion de la planification financière,,,
,,,A-62804,Banking And Wealth Management,Gestion bancaire et de patrimoine,,,
,,,A-62900,Business Administration - Marketing,Administration des affaires - marketing,,,
,,,A-62907,Business Administration - Automotive Marketing,Administration des affaires - marketing automobile,,,
,,,A-62909,Fashion Merchandising - 3 year,Marchandisage de la mode - 3 ans,,,
,,,A-63002,Information Security Technology,Technologie de la sécurité de l'information,,,
,,,A-63003,Fire Protection Technology,Technologie de la protection contre les incendies,,,
,,,A-63107,Culinary Administration,Arts culinaires - administration,,,
,,,A-63111,Culinary Innovation and Food Technology,Innovation de la cuisine et la technologie de l'alimentation,,,
,,,A-63200,Hospitality Administration,Administration de l'accueil,,,
,,,A-63201,Hospitality And Tourism Administration,Administration de l'accueil et du tourisme,,,
,,,A-63204,Food And Nutrition Administration,Nourriture et alimentation - administration,,,
,,,A-63205,Tourism Management,Gestion touristique,,,
,,,A-63401,Esthetics and Spa Therapies,Thérapies d'esthétique et de spa,,,
,,,A-63700,Bio-food Technology,Technologie d'oenolgie,,,
,,,A-63702,Food Safety,Salubrité des aliments,,,
,,,A-63905,Landscape Design - 3 year,Architecture paysagiste - 3 ans,,,
,,,A-64203,Forestry Technology,Technologie forestière,,,
