#AGGR_TYPE_CD,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,ACAD_GRAD_YEAR,REPORTING_ACAD_YR,GENDER,GRAD_COUNT,STUD_SAT_COUNT,UNEMP_RATE,EMP_RATE,EMP_FT_RATE,EMP_PT_RATE,JSD_RATE_FT_RLTD_1,JSD_RATE_FT_RLTD_2,JSD_RATE_FT_RLTD_3,JSD_RATE_FT_RLTD_4,JSD_RATE_FT_RLTD_5,ANN_SLRY_EMP_FT_RATE,ANN_CLRY_EMP_FT_RLTD_RATE,GRAD_SAT_RATE_AGG,IN_LF,STUD_SAT_RATE,GRADUATION_RATE,EMP_FT_REL_RATE
Cl,A,A07,2012-2013,2013-2014,T,19,N/A,12.5,87.5,62.5,12.5,N/A,N/A,N/A,N/A,N/A,27500,27500,67.5,87.5,N/A,67.5,27.5
Cl,A,A07,2010-2011,2011-2012,T,23,18,22.5,82.5,62.5,22.5,17.5,52.5,67.5,97.5,97.5,32500,32500,57.5,92.5,87.5,N/A,42.5
Cl,A,A07,2011-2012,2012-2013,T,23,N/A,32.5,67.5,47.5,22.5,52.5,52.5,52.5,77.5,97.5,27500,27500,72.5,72.5,N/A,52.5,37.5
Cl,A,A18,2010-2011,2011-2012,T,25,56,17.5,82.5,67.5,17.5,22.5,42.5,42.5,82.5,97.5,37500,37500,77.5,67.5,87.5,N/A,37.5
Cl,T,T07,2013-2014,2014-2015,T,28,62,22.5,77.5,77.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,77.5,87.5,77.5,67.5,77.5
Cl,B,B18,2010-2011,2011-2012,T,30,98,17.5,82.5,72.5,12.5,62.5,82.5,97.5,97.5,97.5,37500,32500,77.5,77.5,72.5,N/A,57.5
Cl,A,A18,2011-2012,2012-2013,T,30,55,12.5,92.5,82.5,12.5,22.5,42.5,67.5,77.5,97.5,37500,42500,92.5,92.5,72.5,72.5,47.5
Cl,A,A19,2011-2012,2012-2013,T,30,36,27.5,72.5,47.5,27.5,52.5,52.5,77.5,97.5,97.5,37500,42500,67.5,67.5,87.5,42.5,37.5
Cl,B,B10,2012-2013,2013-2014,T,31,67,27.5,72.5,52.5,7.5,N/A,N/A,N/A,N/A,N/A,42500,47500,47.5,87.5,57.5,82.5,37.5
Cl,B,B18,2011-2012,2012-2013,T,32,180,22.5,77.5,67.5,7.5,52.5,57.5,82.5,97.5,97.5,32500,32500,52.5,82.5,72.5,57.5,57.5
Cl,A,A19,2013-2014,2014-2015,T,32,45,2.5,97.5,97.5,2.5,N/A,N/A,N/A,N/A,N/A,32500,37500,72.5,37.5,77.5,67.5,62.5
Cl,A,A18,2014-2015,2015-2016,T,32,42,22.5,77.5,57.5,12.5,27.5,37.5,62.5,87.5,97.5,37500,42500,57.5,87.5,82.5,82.5,47.5
Cl,A,A18,2013-2014,2014-2015,T,35,23,42.5,57.5,52.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,62500,57.5,72.5,82.5,72.5,17.5
Cl,A,A18,2012-2013,2013-2014,T,37,46,17.5,82.5,62.5,17.5,N/A,N/A,N/A,N/A,N/A,37500,42500,92.5,92.5,77.5,57.5,57.5
Cl,A,A19,2012-2013,2013-2014,T,37,66,17.5,82.5,57.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,32500,97.5,62.5,77.5,62.5,52.5
Cl,A,A19,2010-2011,2011-2012,T,41,41,2.5,97.5,97.5,2.5,47.5,52.5,67.5,97.5,97.5,37500,37500,87.5,72.5,87.5,N/A,77.5
Cl,T,T07,2014-2015,2015-2016,T,41,65,27.5,72.5,67.5,2.5,52.5,82.5,82.5,97.5,97.5,42500,42500,62.5,92.5,72.5,52.5,62.5
Cl,T,T07,2012-2013,2013-2014,T,42,61,22.5,77.5,62.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,77.5,87.5,77.5,62.5,57.5
Cl,T,T17,2010-2011,2011-2012,T,46,140,17.5,82.5,77.5,2.5,62.5,62.5,82.5,87.5,97.5,47500,52500,87.5,92.5,82.5,N/A,52.5
Cl,B,B10,2010-2011,2011-2012,T,50,47,2.5,97.5,77.5,17.5,32.5,47.5,72.5,82.5,97.5,37500,42500,57.5,92.5,67.5,N/A,52.5
Cl,T,T05,2011-2012,2012-2013,T,51,128,7.5,92.5,87.5,7.5,12.5,52.5,77.5,92.5,97.5,37500,37500,67.5,72.5,62.5,72.5,52.5
