#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,NOC_CODE_RANK,NOC_CODE_PERCENTAGE,NOC_CODE_CODE,NOC_DESCRIPTION_ENGLISH,NOC_DESCRIPTION_FRENCH
Program,A-60100,B,B07,3,5,1111,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables
Program,A-60100,B,B07,2,13,1311,Accounting technicians and bookkeepers,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
Program,A-60100,B,B07,1,29,1431,Accounting and related clerks,Commis à la comptabilité et personnel assimilé
Program,A-60100,B,B07,4,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60100,B,B07,5,3,6551,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières
Program,A-60200,B,B06,3,5,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-60200,B,B06,5,4,1241,Administrative assistants,Adjoints administratifs/adjointes administratives
Program,A-60200,B,B06,1,10,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60200,B,B06,2,6,6551,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières
Program,A-60200,B,B06,4,4,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60201,B,B07,3,8,1114,Other financial officers,Autres agents financiers/agentes financières
Program,A-60201,B,B07,5,4,1434,"Banking, insurance and other financial clerks","Commis de banque, d'assurance et d'autres services financiers"
Program,A-60201,B,B07,4,5,6235,Financial sales representatives,Représentants/représentantes des ventes financières
Program,A-60201,B,B07,2,10,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60201,B,B07,1,15,6551,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières
Program,A-60202,B,B06,2,5,1315,"Customs, ship and other brokers","Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières"
Program,A-60202,B,B06,2,5,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-60202,B,B06,2,5,1521,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires
Program,A-60202,B,B06,1,11,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60202,B,B06,2,5,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60204,B,B06,4,7,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-60204,B,B06,1,21,5254,"Program leaders and instructors in recreation, sport and fitness","Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique"
Program,A-60204,B,B06,2,17,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60204,B,B06,3,13,6722,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions"
Program,A-60204,B,B06,5,4,8612,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains
Program,A-60209,T,T07,2,9,731,Managers in transportation,Directeurs/directrices des transports
Program,A-60209,T,T07,2,9,911,Manufacturing managers,Directeurs/directrices de la fabrication
Program,A-60209,T,T07,2,9,1523,Production logistics co-ordinators,Coordonnateurs/coordonnatrices de la logistique de la production
Program,A-60209,T,T07,2,9,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-60209,T,T07,1,18,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-60209,T,T07,2,9,2252,Industrial designers,Designers industriels/designers industrielles
Program,A-60209,T,T07,2,9,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-60209,T,T07,2,9,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications
Program,A-60209,T,T07,2,9,7301,"Contractors and supervisors, mechanic trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique
Program,A-60209,T,T07,2,9,7311,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
Program,A-60223,B,B11,2,8,1121,Human resources professionals,Professionnels/professionnelles en ressources humaines
Program,A-60223,B,B11,1,11,1223,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement
Program,A-60223,B,B11,5,5,1241,Administrative assistants,Adjoints administratifs/adjointes administratives
Program,A-60223,B,B11,4,6,1415,Personnel clerks,Commis des services du personnel
Program,A-60223,B,B11,3,8,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60231,B,B14,4,5,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-60231,B,B14,4,5,1221,Administrative officers,Agents/agentes d'administration
Program,A-60231,B,B14,2,13,1241,Administrative assistants,Adjoints administratifs/adjointes administratives
Program,A-60231,B,B14,3,8,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-60231,B,B14,1,15,1431,Accounting and related clerks,Commis à la comptabilité et personnel assimilé
Program,A-60231,B,B14,4,5,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60243,A,A16,5,4,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-60243,A,A16,1,40,1123,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques"
Program,A-60243,A,A16,4,5,1226,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements
Program,A-60243,A,A16,2,9,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60243,A,A16,3,6,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-60261,B,B18,4,6,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires"
Program,A-60261,B,B18,2,8,1526,Transportation route and crew schedulers,Horairistes de trajets et d'équipages
